NAME,ESTAB
FOUR POINTS HOTEL,1987
HOTEL COMPLEX-DE ANZA COVE,1998
CATAMARRAN RESORT HOTEL,1959
QUALCOMM STADIUM,1968
HILTON SAN DIEGO RESORT,1960
PARADISE POINT RESORT HOTEL,1962
MARRIOTT HOTEL-MISSION VALLEY,1988
BAHIA RESORT HOTEL,1953
BELMONT PARK,1989
DOUBLETREE HOTEL,1990
SEA WORLD,1964
HYATT ISLANDIA HOTEL,1964
RADISSON HOTEL,1983
HILTON HOTEL - MISSION VALLEY,1987
TOWN AND COUNTRY HOTEL,1954
HANDLERY HOTEL AND COUNTRY CLUB,1947
SEVEN SEAS LODGE,1955
RED LION HANALEI HOTEL,1964
DAYS INN-HOTEL CIRCLE,1987
HOLIDAY INN - MISSION VALLEY,1970
QUALITY RESORT,1962
REGENCY PLAZA HOTEL,1987
HOLIDAY INN-MISSION BAY,1987
OLD TOWN STATE PARK,1987
SAN DIEGO ZOO,1916
SAN DIEGO INTERNATIONAL AIRPORT,1967
SHERATON HARBOR ISLAND HOTEL,1971
HOLIDAY INN - BAYSIDE,1987
HILTON HARBOR ISLAND HOTEL,1970
BALBOA PARK,1868
POINTE RESORT,1998
RADISSON HOTEL,1990
HOLIDAY INN - HARBOR VIEW,1969
HOLIDAY INN - EMBARCADERO,1967
MARRIOTT SUITES HOTEL,1989
W HOTEL,1998
WESTGATE HOTEL,1969
WYNDHAM EMERALD PLAZA HOTEL,1990
US GRANT HOTEL,1910
MARRIOTT COURTYARD HOTEL,1987
HOTEL,1998
WESTIN HOTEL HORTON PLAZA,1987
EMBASSY SUITES HOTEL,1988
SEAPORT VILLAGE II,1998
SHELTER POINTE HOTEL & MARINA,1953
HYATT REGENCY HOTEL,1992
SEAPORT VILLAGE,1978
CLARION HOTEL,1988
MARRIOTT HOTEL AND MARINA,1982
HILTON SAN DIEGO GASLAMP QUARTER,1998
SAN DIEGO CONVENTION CENTER,1989
BALLPARK HOTEL,1998
FIFTH AVENUE LANDING,1998
CAMPBELL INDUSTRIES HOTEL,1998
MARRIOTT HOTEL-CORONADO,1988
HOTEL DEL CORONADO,1885
HOLIDAY INN,1991
CABRILLO NATIONAL MONUNMENT,1935
BONITA GRAND RESORT HOTEL,1998
HILTON CRYSTAL BAY HOTEL,1998
PETCO PARK,1998
NEWATTRACTION,2023
NEWATTRACTION_1,2022
NEWATTRACTION_2,2023
attr,2025
